"Date","Time","WSPD","WD","GST","ATMP","WTMP","BARO","DEPTH"
"12/10/2020","21:35","08.7","236","10.0","12.0","13.3","N/A","4.01"
"12/10/2020","21:40","09.6","237","11.9","12.0","13.3","N/A","3.99"
"12/10/2020","21:45","09.4","240","11.2","12.1","13.3","N/A","3.97"
"12/10/2020","21:50","10.2","244","12.2","12.2","13.3","N/A","3.95"
"12/10/2020","21:55","11.8","241","13.7","12.3","13.3","N/A","3.92"
"12/10/2020","22:00","10.4","242","12.1","12.4","13.2","N/A","3.90"
"12/10/2020","22:05","10.3","237","11.7","12.4","13.2","N/A","3.87"
"12/10/2020","22:10","11.1","239","12.3","12.4","13.2","N/A","3.84"
"12/10/2020","22:15","09.0","265","11.5","12.4","13.2","N/A","3.81"
"12/10/2020","22:20","06.1","041","08.6","12.4","13.2","N/A","3.79"
"12/10/2020","22:25","06.8","032","07.6","12.0","13.2","N/A","3.76"
"12/10/2020","22:30","04.4","030","05.3","11.9","13.1","N/A","3.72"
"12/10/2020","22:35","05.7","031","06.7","11.8","13.1","N/A","3.68"
"12/10/2020","22:40","06.2","060","07.4","11.8","13.0","N/A","3.64"
"12/10/2020","22:45","06.3","069","07.3","11.6","12.9","N/A","3.59"
"12/10/2020","22:50","06.8","067","07.4","11.6","12.9","N/A","3.55"
"12/10/2020","22:55","07.3","066","07.9","11.5","12.9","N/A","3.50"
"12/10/2020","23:00","07.4","058","08.3","11.6","13.0","N/A","3.45"
"12/10/2020","23:05","09.2","054","09.8","11.5","13.0","N/A","3.40"
"12/10/2020","23:10","09.2","048","09.7","11.6","13.0","N/A","3.35"
"12/10/2020","23:15","09.4","036","10.5","11.5","13.0","N/A","3.30"
"12/10/2020","23:20","10.2","045","12.6","11.4","12.9","N/A","3.25"
"12/10/2020","23:25","12.5","059","14.8","11.5","12.8","N/A","3.20"
"12/10/2020","23:30","15.1","065","18.2","11.6","12.7","N/A","3.15"
"12/10/2020","23:35","12.0","060","13.5","11.8","12.7","N/A","3.09"
"12/10/2020","23:40","13.7","063","14.7","11.7","12.7","N/A","3.02"
"12/10/2020","23:45","12.1","062","14.0","11.6","12.6","N/A","2.96"
"12/10/2020","23:50","11.0","059","12.2","11.6","12.6","N/A","2.90"
"12/10/2020","23:55","12.0","060","12.8","11.6","12.5","N/A","2.84"
"12/10/2020","00:00","02.2","042","02.6","09.7","12.3","N/A","2.24"
"12/10/2020","00:05","02.2","039","02.4","09.6","12.3","N/A","2.21"
"12/10/2020","00:10","02.2","038","02.6","09.7","12.4","N/A","2.20"
"12/10/2020","00:15","02.7","008","02.9","09.8","12.4","N/A","2.19"
"12/10/2020","00:20","03.5","005","03.7","09.3","12.4","N/A","2.18"
"12/10/2020","00:25","04.0","359","04.3","09.4","12.4","N/A","2.17"
"12/10/2020","00:30","03.8","358","04.0","09.5","12.4","N/A","2.15"
"12/10/2020","00:35","03.7","002","03.8","09.5","12.4","N/A","2.14"
"12/10/2020","00:40","03.9","003","04.1","09.5","12.4","N/A","2.13"
"12/10/2020","00:45","03.8","016","04.4","09.3","12.4","N/A","2.12"
"12/10/2020","00:50","03.9","009","04.5","09.3","12.4","N/A","2.12"
"12/10/2020","00:55","03.9","006","04.6","09.1","12.4","N/A","2.12"
"12/10/2020","01:00","04.3","008","05.2","08.8","12.4","N/A","2.12"
"12/10/2020","01:05","04.7","007","05.3","08.6","12.3","N/A","2.12"
"12/10/2020","01:10","03.8","014","04.6","08.6","12.3","N/A","2.11"
"12/10/2020","01:15","02.6","026","03.3","08.8","12.3","N/A","2.11"
"12/10/2020","01:20","00.0","000","00.0","09.0","12.4","N/A","2.11"
"12/10/2020","01:25","00.0","032","00.2","09.1","12.4","N/A","2.11"
"12/10/2020","01:30","00.0","015","00.0","09.2","12.4","N/A","2.12"
"12/10/2020","01:35","00.0","351","00.0","09.2","12.4","N/A","2.12"
"12/10/2020","01:40","00.0","338","00.2","08.8","12.4","N/A","2.14"
"12/10/2020","01:45","03.5","347","03.8","08.6","12.4","N/A","2.15"
"12/10/2020","01:50","00.1","005","00.3","08.6","12.4","N/A","2.16"
"12/10/2020","01:55","00.0","034","00.2","08.5","12.4","N/A","2.17"
"12/10/2020","02:00","00.0","032","00.1","08.5","12.4","N/A","2.17"
"12/10/2020","02:05","00.0","000","00.0","08.5","12.4","N/A","2.19"
"12/10/2020","02:10","00.0","000","00.0","08.5","12.4","N/A","2.20"
"12/10/2020","02:15","00.0","022","00.1","08.6","12.4","N/A","2.22"
"12/10/2020","02:20","00.0","000","00.0","08.6","12.5","N/A","2.24"
"12/10/2020","02:25","00.0","000","00.0","08.7","12.5","N/A","2.25"
"12/10/2020","02:30","00.0","000","00.0","08.8","12.5","N/A","2.27"
"12/10/2020","02:35","00.0","000","00.0","08.8","12.4","N/A","2.28"
"12/10/2020","02:40","00.0","000","00.0","08.8","12.4","N/A","2.30"
"12/10/2020","02:45","00.0","000","00.0","08.8","12.5","N/A","2.31"
"12/10/2020","02:50","00.0","000","00.0","08.8","12.5","N/A","2.33"
"12/10/2020","02:55","00.0","065","00.0","08.8","12.5","N/A","2.35"
"12/10/2020","03:00","00.0","059","00.2","08.9","12.5","N/A","2.37"
"12/10/2020","03:05","00.0","000","00.0","08.9","12.5","N/A","2.39"
"12/10/2020","03:10","00.0","067","00.0","09.0","12.4","N/A","2.40"
"12/10/2020","03:15","00.0","042","00.2","09.0","12.4","N/A","2.42"
"12/10/2020","03:20","00.0","033","00.1","09.0","12.4","N/A","2.44"
"12/10/2020","03:25","00.0","016","00.1","08.9","12.4","N/A","2.45"
"12/10/2020","03:30","00.0","026","00.2","09.0","12.4","N/A","2.47"
"12/10/2020","03:35","00.0","026","00.3","08.9","12.4","N/A","2.49"
"12/10/2020","03:40","00.0","000","00.0","08.8","12.5","N/A","2.51"
"12/10/2020","03:45","00.0","006","00.1","08.9","12.5","N/A","2.52"
"12/10/2020","03:50","00.0","001","00.0","08.9","12.5","N/A","2.54"
"12/10/2020","03:55","00.0","000","00.0","09.0","12.5","N/A","2.56"
"12/10/2020","04:00","00.0","358","00.1","08.9","12.5","N/A","2.58"
"12/10/2020","04:05","00.0","000","00.0","08.9","12.5","N/A","2.61"
"12/10/2020","04:10","00.0","000","00.0","08.9","12.5","N/A","2.64"
"12/10/2020","04:15","00.0","350","00.1","08.9","12.5","N/A","2.66"
"12/10/2020","04:20","00.0","353","00.1","08.8","12.5","N/A","2.69"
"12/10/2020","04:25","00.1","007","00.3","08.8","12.5","N/A","2.72"
"12/10/2020","04:30","00.0","000","00.0","08.9","12.5","N/A","2.75"
"12/10/2020","04:35","00.0","000","00.0","08.9","12.5","N/A","2.78"
"12/10/2020","04:40","00.0","018","00.1","08.8","12.6","N/A","2.80"
"12/10/2020","04:45","00.0","000","00.0","08.7","12.6","N/A","2.83"
"12/10/2020","04:50","00.0","000","00.0","08.7","12.6","N/A","2.87"
"12/10/2020","04:55","00.0","028","00.1","08.8","12.6","N/A","2.90"
"12/10/2020","05:00","00.0","021","00.1","08.8","12.6","N/A","2.93"
"12/10/2020","05:05","00.0","000","00.0","08.8","12.7","N/A","2.97"
"12/10/2020","05:10","00.0","000","00.0","08.8","12.7","N/A","3.00"
"12/10/2020","05:15","00.0","061","00.1","08.9","12.7","N/A","3.04"
"12/10/2020","05:20","00.0","058","00.1","08.9","12.8","N/A","3.08"
"12/10/2020","05:25","00.0","000","00.0","08.9","12.9","N/A","3.11"
"12/10/2020","05:30","00.0","000","00.0","08.8","12.9","N/A","3.15"
"12/10/2020","05:35","00.0","000","00.0","08.8","12.9","N/A","3.19"
"12/10/2020","05:40","00.0","140","00.2","08.8","12.9","N/A","3.22"
"12/10/2020","05:45","00.0","137","00.1","08.7","12.9","N/A","3.26"
"12/10/2020","05:50","00.0","134","00.1","08.6","12.9","N/A","3.30"
"12/10/2020","05:55","00.0","133","00.1","08.6","12.9","N/A","3.33"
"12/10/2020","06:00","00.0","000","00.0","08.6","12.9","N/A","3.37"
"12/10/2020","06:05","00.0","000","00.0","08.6","12.9","N/A","3.41"
"12/10/2020","06:10","00.0","127","00.0","08.8","13.0","N/A","3.45"
"12/10/2020","06:15","00.0","118","00.2","08.7","13.0","N/A","3.49"
"12/10/2020","06:20","00.0","000","00.0","08.7","13.0","N/A","3.52"
"12/10/2020","06:25","00.0","113","00.1","08.7","13.1","N/A","3.56"
"12/10/2020","06:30","00.0","129","00.1","08.7","13.1","N/A","3.59"
"12/10/2020","06:35","00.0","131","00.0","08.6","13.1","N/A","3.62"
"12/10/2020","06:40","00.0","122","00.0","08.6","13.1","N/A","3.66"
"12/10/2020","06:45","00.0","121","00.1","08.6","13.1","N/A","3.69"
"12/10/2020","06:50","00.0","000","00.0","08.6","13.1","N/A","3.72"
"12/10/2020","06:55","00.0","000","00.0","08.6","13.1","N/A","3.75"
"12/10/2020","07:00","00.0","132","00.0","08.7","13.1","N/A","3.78"
"12/10/2020","07:05","00.0","000","00.0","08.7","13.1","N/A","3.81"
"12/10/2020","07:10","00.0","000","00.0","08.5","13.2","N/A","3.84"
"12/10/2020","07:15","00.0","163","00.1","08.4","13.2","N/A","3.86"
"12/10/2020","07:20","00.0","000","00.0","08.4","13.2","N/A","3.89"
"12/10/2020","07:25","00.0","114","00.0","08.6","13.2","N/A","3.91"
"12/10/2020","07:30","00.0","000","00.0","08.7","13.3","N/A","3.93"
"12/10/2020","07:35","00.0","151","00.1","08.6","13.3","N/A","3.95"
"12/10/2020","07:40","00.0","000","00.0","08.7","13.3","N/A","3.97"
"12/10/2020","07:45","00.0","111","00.0","08.6","13.3","N/A","3.99"
"12/10/2020","07:50","00.0","000","00.0","08.6","13.3","N/A","4.01"
"12/10/2020","07:55","00.0","113","00.1","08.7","13.3","N/A","4.02"
"12/10/2020","08:00","00.0","119","00.1","08.7","13.3","N/A","4.03"
"12/10/2020","08:05","00.0","135","00.2","08.7","13.3","N/A","4.04"
"12/10/2020","08:10","00.0","121","00.1","08.5","13.3","N/A","4.04"
"12/10/2020","08:15","00.0","134","00.1","08.4","13.3","N/A","4.05"
"12/10/2020","08:20","00.0","114","00.1","08.4","13.4","N/A","4.05"
"12/10/2020","08:25","00.1","130","00.3","08.4","13.4","N/A","4.05"
"12/10/2020","08:30","00.0","117","00.1","08.5","13.4","N/A","4.05"
"12/10/2020","08:35","00.0","096","00.0","08.7","13.4","N/A","4.04"
"12/10/2020","08:40","00.0","000","00.0","08.8","13.3","N/A","4.03"
"12/10/2020","08:45","00.0","000","00.0","08.9","13.3","N/A","4.01"
"12/10/2020","08:50","00.0","000","00.0","09.1","13.3","N/A","3.99"
"12/10/2020","08:55","00.0","000","00.0","09.2","13.3","N/A","3.98"
"12/10/2020","09:00","00.0","000","00.0","09.3","13.3","N/A","3.96"
"12/10/2020","09:05","00.0","187","00.0","09.7","13.3","N/A","3.95"
"12/10/2020","09:10","00.0","280","00.1","10.4","13.3","N/A","3.94"
"12/10/2020","09:15","00.0","352","00.1","11.1","13.3","N/A","3.91"
"12/10/2020","09:20","05.3","298","07.6","13.0","13.2","N/A","3.89"
"12/10/2020","09:25","00.1","079","00.2","11.7","13.2","N/A","3.88"
"12/10/2020","09:30","00.3","308","03.6","11.7","13.2","N/A","3.85"
"12/10/2020","09:35","00.0","022","00.2","11.7","13.1","N/A","3.82"
"12/10/2020","09:40","06.7","272","07.6","13.1","13.1","N/A","3.78"
"12/10/2020","09:45","07.4","265","08.8","13.2","13.1","N/A","3.76"
"12/10/2020","09:50","09.1","270","10.3","13.3","13.0","N/A","3.74"
"12/10/2020","09:55","08.6","267","09.3","13.3","12.9","N/A","3.70"
"12/10/2020","10:00","10.1","269","12.9","13.3","12.8","N/A","3.68"
"12/10/2020","10:05","10.9","269","11.9","13.5","12.8","N/A","3.66"
"12/10/2020","10:10","11.2","272","13.0","13.5","12.8","N/A","3.63"
"12/10/2020","10:15","12.4","266","13.8","13.5","12.8","N/A","3.60"
"12/10/2020","10:20","11.2","275","12.6","13.6","12.9","N/A","3.57"
"12/10/2020","10:25","11.9","269","13.9","13.6","12.8","N/A","3.54"
"12/10/2020","10:30","11.1","264","12.0","13.6","12.8","N/A","3.50"
"12/10/2020","10:35","12.3","259","13.3","13.7","12.7","N/A","3.46"
"12/10/2020","10:40","10.5","267","12.3","13.7","12.7","N/A","3.41"
"12/10/2020","10:45","10.5","291","11.6","13.8","12.7","N/A","3.36"
"12/10/2020","10:50","11.0","294","11.7","13.7","12.7","N/A","3.31"
"12/10/2020","10:55","10.7","303","11.5","13.6","12.7","N/A","3.27"
"12/10/2020","11:00","09.1","308","10.2","13.6","12.8","N/A","3.23"
"12/10/2020","11:05","10.3","304","11.0","13.6","12.7","N/A","3.18"
"12/10/2020","11:10","08.3","301","08.9","13.5","12.6","N/A","3.14"
"12/10/2020","11:15","10.0","310","10.5","13.5","12.6","N/A","3.10"
"12/10/2020","11:20","09.3","311","09.7","13.5","12.7","N/A","3.04"
"12/10/2020","11:25","09.2","311","10.2","13.4","12.6","N/A","2.99"
"12/10/2020","11:30","08.5","320","09.3","13.4","12.6","N/A","2.93"
"12/10/2020","11:35","08.7","316","09.7","13.3","12.6","N/A","2.88"
"12/10/2020","11:40","08.1","319","08.8","13.3","12.6","N/A","2.84"
"12/10/2020","11:45","08.4","313","09.7","13.3","12.6","N/A","2.79"
"12/10/2020","11:50","10.5","326","11.3","13.2","12.6","N/A","2.74"
"12/10/2020","11:55","08.9","333","09.7","13.1","12.5","N/A","2.69"
"12/10/2020","12:00","07.4","341","08.2","13.1","12.5","N/A","2.64"
"12/10/2020","12:05","06.9","335","07.4","13.1","12.4","N/A","2.60"
"12/10/2020","12:10","05.7","344","06.3","13.1","12.4","N/A","2.55"
"12/10/2020","12:15","06.1","339","06.5","13.1","12.4","N/A","2.51"
"12/10/2020","12:20","05.2","335","05.7","13.1","12.4","N/A","2.45"
"12/10/2020","12:25","04.5","332","05.5","13.1","12.4","N/A","2.40"
"12/10/2020","12:30","03.9","308","04.4","13.1","12.4","N/A","2.35"
"12/10/2020","12:35","03.8","289","04.2","13.1","12.4","N/A","2.30"
"12/10/2020","12:40","05.5","292","06.2","13.2","12.3","N/A","2.26"
"12/10/2020","12:45","06.2","285","06.9","13.3","12.3","N/A","2.23"
"12/10/2020","12:50","05.8","288","06.5","13.3","12.3","N/A","2.20"
"12/10/2020","12:55","06.3","278","07.3","13.3","12.3","N/A","2.17"
"12/10/2020","13:00","06.4","283","07.2","13.3","12.3","N/A","2.15"
"12/10/2020","13:05","07.5","278","09.0","13.4","12.2","N/A","2.13"
"12/10/2020","13:10","08.6","275","09.2","13.4","12.2","N/A","2.11"
"12/10/2020","13:15","07.0","272","08.4","13.5","12.2","N/A","2.08"
"12/10/2020","13:20","09.4","280","12.2","13.6","12.2","N/A","2.06"
"12/10/2020","13:25","13.1","285","14.4","13.9","12.2","N/A","2.06"
"12/10/2020","13:30","15.3","283","16.2","13.9","12.2","N/A","2.05"
"12/10/2020","13:35","15.2","288","16.6","13.9","12.2","N/A","2.05"
"12/10/2020","13:40","12.4","292","13.8","13.9","12.2","N/A","2.05"
"12/10/2020","13:45","12.9","291","14.4","13.8","12.2","N/A","2.06"
"12/10/2020","13:50","11.7","292","14.1","13.9","12.2","N/A","2.06"
"12/10/2020","13:55","12.4","288","13.8","13.9","12.2","N/A","2.06"
"12/10/2020","14:00","13.3","279","15.2","13.9","12.2","N/A","2.08"
"12/10/2020","14:05","13.6","286","14.5","13.9","12.2","N/A","2.08"
"12/10/2020","14:10","14.8","275","16.9","13.8","12.2","N/A","2.09"
"12/10/2020","14:15","22.2","291","24.5","12.8","12.2","N/A","2.11"
"12/10/2020","14:20","21.1","300","23.7","12.3","12.2","N/A","2.13"
"12/10/2020","14:25","15.2","309","17.1","12.3","12.2","N/A","2.14"
"12/10/2020","14:30","14.6","317","15.8","12.6","12.3","N/A","2.14"
"12/10/2020","14:35","15.9","313","18.1","12.8","12.3","N/A","2.14"
"12/10/2020","14:40","17.5","315","19.5","13.0","12.3","N/A","2.16"
"12/10/2020","14:45","19.0","313","20.8","13.0","12.3","N/A","2.18"
"12/10/2020","14:50","19.0","304","22.0","13.0","12.3","N/A","2.20"
"12/10/2020","14:55","18.2","301","19.9","13.0","12.3","N/A","2.22"
"12/10/2020","15:00","16.9","304","19.2","12.9","12.3","N/A","2.25"
"12/10/2020","15:05","15.4","293","16.9","12.6","12.3","N/A","2.27"
"12/10/2020","15:10","18.0","288","19.4","12.4","12.2","N/A","2.28"
"12/10/2020","15:15","15.5","292","17.4","12.2","12.2","N/A","2.28"
"12/10/2020","15:20","16.1","288","17.6","11.7","12.2","N/A","2.30"
"12/10/2020","15:25","14.7","294","17.5","11.6","12.2","N/A","2.31"
"12/10/2020","15:30","14.5","297","15.4","11.2","12.2","N/A","2.32"
"12/10/2020","15:35","13.8","292","15.4","11.2","12.2","N/A","2.33"
"12/10/2020","15:40","13.5","285","14.2","11.2","12.2","N/A","2.34"
"12/10/2020","15:45","12.4","291","14.8","11.2","12.3","N/A","2.35"
"12/10/2020","15:50","10.3","277","11.8","11.1","12.3","N/A","2.36"
"12/10/2020","15:55","10.1","274","11.0","10.9","12.3","N/A","2.37"
"12/10/2020","16:00","11.1","275","11.8","11.0","12.3","N/A","2.39"
"12/10/2020","16:05","11.9","263","12.9","11.0","12.3","N/A","2.40"
"12/10/2020","16:10","13.9","261","15.5","11.2","12.3","N/A","2.42"
"12/10/2020","16:15","10.8","265","12.8","11.1","12.3","N/A","2.43"
"12/10/2020","16:20","12.3","274","13.5","11.3","12.3","N/A","2.45"
"12/10/2020","16:25","12.6","269","14.5","11.5","12.3","N/A","2.47"
"12/10/2020","16:30","14.8","284","16.9","11.7","12.3","N/A","2.50"
"12/10/2020","16:35","12.8","294","14.1","11.7","12.3","N/A","2.53"
"12/10/2020","16:40","12.1","285","14.0","11.8","12.3","N/A","2.56"
"12/10/2020","16:45","18.8","267","21.2","11.5","12.4","N/A","2.60"
"12/10/2020","16:50","20.9","269","23.6","11.3","12.4","N/A","2.63"
"12/10/2020","16:55","19.5","266","22.0","11.4","12.4","N/A","2.66"
"12/10/2020","17:00","18.1","269","19.9","11.5","12.4","N/A","2.70"
"12/10/2020","17:05","18.9","281","20.1","11.4","12.4","N/A","2.74"
"12/10/2020","17:10","17.3","289","19.1","11.6","12.5","N/A","2.78"
"12/10/2020","17:15","16.5","283","17.5","11.4","12.5","N/A","2.82"
"12/10/2020","17:20","14.5","289","16.6","11.4","12.5","N/A","2.86"
"12/10/2020","17:25","15.9","282","17.6","11.6","12.5","N/A","2.90"
"12/10/2020","17:30","16.3","277","18.5","11.6","12.5","N/A","2.94"
"12/10/2020","17:35","15.8","287","17.9","11.5","12.6","N/A","2.98"
"12/10/2020","17:40","13.6","292","15.3","11.4","12.6","N/A","3.01"
"12/10/2020","17:45","14.4","294","15.9","11.4","12.7","N/A","3.04"
"12/10/2020","17:50","13.3","289","14.9","11.5","12.7","N/A","3.08"
"12/10/2020","17:55","14.2","282","17.6","11.5","12.7","N/A","3.13"
"12/10/2020","18:00","13.3","284","15.2","11.4","12.8","N/A","3.16"
"12/10/2020","18:05","14.9","285","16.6","11.5","12.8","N/A","3.21"
"12/10/2020","18:10","14.7","282","16.1","11.6","12.8","N/A","3.25"
"12/10/2020","18:15","17.9","275","20.4","11.5","12.8","N/A","3.29"
"12/10/2020","18:20","16.7","273","19.2","11.3","12.9","N/A","3.34"
"12/10/2020","18:25","17.0","281","19.9","11.5","12.9","N/A","3.38"
"12/10/2020","18:30","16.0","285","17.1","11.5","12.9","N/A","3.42"
"12/10/2020","18:35","12.5","288","13.5","11.6","12.9","N/A","3.46"
"12/10/2020","18:40","15.4","274","17.4","11.8","12.9","N/A","3.50"
"12/10/2020","18:45","14.5","291","16.5","11.6","13.0","N/A","3.54"
"12/10/2020","18:50","15.5","286","16.7","11.6","13.1","N/A","3.59"
"12/10/2020","18:55","14.7","282","16.4","11.8","13.1","N/A","3.63"
"12/10/2020","19:00","15.6","277","16.9","11.6","13.2","N/A","3.68"
"12/10/2020","19:05","15.6","272","17.5","11.7","13.2","N/A","3.72"
"12/10/2020","19:10","14.1","266","16.0","11.6","13.2","N/A","3.76"
"12/10/2020","19:15","16.4","266","18.1","11.6","13.2","N/A","3.79"
"12/10/2020","19:20","14.0","268","16.0","11.6","13.2","N/A","3.82"
"12/10/2020","19:25","14.3","270","15.7","11.5","13.3","N/A","3.86"
"12/10/2020","19:30","13.5","271","15.3","11.6","13.3","N/A","3.89"
"12/10/2020","19:35","13.7","270","14.9","11.7","13.2","N/A","3.91"
"12/10/2020","19:40","14.5","270","15.8","11.7","13.2","N/A","3.95"
"12/10/2020","19:45","13.6","270","15.9","11.7","13.2","N/A","3.98"
"12/10/2020","19:50","14.8","268","17.5","11.6","13.3","N/A","4.00"
"12/10/2020","19:55","14.3","264","15.7","11.5","13.3","N/A","4.02"
"12/10/2020","20:00","13.7","261","15.2","11.6","13.4","N/A","4.05"
"12/10/2020","20:05","12.9","257","15.1","11.7","13.4","N/A","4.07"
"12/10/2020","20:10","12.3","261","15.2","11.8","13.4","N/A","4.09"
"12/10/2020","20:15","15.4","268","17.8","11.8","13.4","N/A","4.11"
"12/10/2020","20:20","12.1","264","14.0","11.9","13.4","N/A","4.12"
"12/10/2020","20:25","14.4","262","15.5","11.9","13.4","N/A","4.13"
"12/10/2020","20:30","14.2","261","15.9","11.8","13.4","N/A","4.14"
"12/10/2020","20:35","12.4","257","13.9","11.9","13.4","N/A","4.14"
"12/10/2020","20:40","13.5","260","15.5","11.9","13.5","N/A","4.14"
"12/10/2020","20:45","13.6","257","14.5","11.8","13.5","N/A","4.15"
"12/10/2020","20:50","11.6","248","12.8","11.8","13.5","N/A","4.15"
"12/10/2020","20:55","13.1","250","14.2","11.8","13.5","N/A","4.14"
"12/10/2020","21:00","09.6","247","11.8","11.9","13.5","N/A","4.13"
"12/10/2020","21:05","09.5","241","11.0","11.8","13.4","N/A","4.12"
"12/10/2020","21:10","11.3","247","12.6","11.8","13.4","N/A","4.11"
"12/10/2020","21:15","11.9","247","13.9","11.8","13.4","N/A","4.09"
"12/10/2020","21:20","09.1","235","10.5","11.9","13.4","N/A","4.08"
"12/10/2020","21:25","10.5","236","11.8","11.8","13.3","N/A","4.06"
"12/10/2020","21:30","10.9","237","12.2","11.9","13.3","N/A","4.03"
